study_name,year,species,site_id,site_name,latitude,longitude,substrate,fund_source,deployment_date,retrieval_date,sample_id,lab,lab_sample_id,lab_set_name,lab_analysis_date,analyte,wet_value,blank_corrected_value,q_dalifier,units,reported_as,pct_solids,dry_value
PSMM2016,2016,Mytilus trossulus,PCB02,"Penn Cove, Pre-test Baseline",NA,NA,NA,NA,NA,NA,16RSMP_PCB02-MTW01,NOAA,119-3284,PS3342,2016-05-25T00:00:00Z,SumPBDEs11,0.2,NA,D,ng/g,wet,21.79826563,0.917504187694404
PSMM2016,2016,Mytilus trossulus,PCB04,"Penn Cove, Pre-test Baseline",NA,NA,NA,NA,NA,NA,16RSMP_PCB04-MTW01,NOAA,119-3286,PS3342,2016-05-25T00:00:00Z,SumPBDEs11,0.21,NA,D,ng/g,wet,21.92958639,0.957610400238835
PSMM2016,2016,Mytilus trossulus,PSS13175-000008,Chimacum Creek delta,48.04902,-122.77225,mud_sand,RSMP/SAM,2015-10-27T00:00:00Z,2016-02-05T00:00:00Z,16RSMP008-MTW01,NOAA,119-3234,PS3339,2016-04-27T00:00:00Z,SumPBDEs11,0.21,NA,"D,B",ng/g,wet,15.81176471,1.32812499965413
MWPE,2013,Mytilus trossulus,WB_CB,Cavalero Bch Co Pk,48.17531,-122.478389,cobble_mud,Stillaguamish Tribe,2012-11-14T00:00:00Z,2013-01-07T00:00:00Z,13WB_CB-MTW01,NOAA,119-1755,MW2888,2013-07-16T00:00:00Z,lipids,0.21476243997895,0.21476243997895,D,%,wet,NA,NA
PSMM2016,2016,Mytilus trossulus,PCB01,"Penn Cove, Pre-test Baseline",NA,NA,NA,NA,NA,NA,16RSMP_PCB01-MTW01,NOAA,119-3283,PS3342,2016-05-25T00:00:00Z,SumPBDEs11,0.23,NA,D,ng/g,wet,21.31245637,1.07918109488193
MWPE,2013,Mytilus trossulus,WB_PCB03,"Penn Cove, Pre-test Baseline 3",NA,NA,NA,NA,NA,NA,13WB_PCB-MTW03,NOAA,119-1829,MW2905,2013-06-27T00:00:00Z,SumPBDEs11,0.24,NA,"D,LOQ",ng/g,wet,16.2017804154302,1.48131868131869
PSMM2016,2016,Mytilus trossulus,PCB06,"Penn Cove, Pre-test Baseline",NA,NA,NA,NA,NA,NA,16RSMP_PCB06-MTW01,NOAA,119-3288,PS3342,2016-05-25T00:00:00Z,SumPBDEs11,0.24,NA,D,ng/g,wet,21.60092601,1.11106347889388
MWPE,2013,Mytilus trossulus,WB_SR,Skagit Rvr Delta,48.33386,-122.43683,sand,NEP,2012-11-12T00:00:00Z,2013-01-09T00:00:00Z,WB_SR,NOAA,119-2048,MW2967,2013-11-21T00:00:00Z,SumPBDEs11,0.24,NA,"D,LOQ",ng/g,wet,13.7398833051007,1.7467397260274
MWPE,2013,Mytilus trossulus,WB_CB,Cavalero Bch Co Pk,48.17531,-122.478389,cobble_mud,Stillaguamish Tribe,2012-11-14T00:00:00Z,2013-01-07T00:00:00Z,13WB_CB-MTW01,NOAA,119-1755,MW2888,2013-07-16T00:00:00Z,SumPBDEs11,0.25,NA,D,ng/g,wet,8.17013463892289,3.05992509363296
PSMM2016,2016,Mytilus trossulus,PSS13175-000024,S of Skunk Island,48.027641,-122.750269,mud_silt,RSMP/SAM,2015-10-27T00:00:00Z,2016-02-05T00:00:00Z,16RSMP024-MTW01,NOAA,119-3253,PS3340,2016-05-17T00:00:00Z,SumPBDEs11,0.25,NA,"D,LOQ",ng/g,wet,15.68001381,1.59438635086253
MWPE,2013,Mytilus trossulus,WB_PCB05,"Penn Cove, Pre-test Baseline 5",NA,NA,NA,NA,NA,NA,13WB_PCB-MTW05,NOAA,119-1831,MW2905,2013-06-27T00:00:00Z,SumPBDEs11,0.26,NA,"D,LOQ",ng/g,wet,15.1898734177215,1.71166666666667
PSMM2016,2016,Mytilus trossulus,HC_HO,"Hood Canal, Holly",47.57045,-122.971557,gravel_sand,Kitsap County,2015-10-27T00:00:00Z,2016-02-08T00:00:00Z,16HC_HO-MTW01,NOAA,119-3308,PS3343,2016-05-19T00:00:00Z,SumPBDEs11,0.26,NA,D,ng/g,wet,15.35421959,1.69334558800588
PSMM2016,2016,Mytilus trossulus,PCB05,"Penn Cove, Pre-test Baseline",NA,NA,NA,NA,NA,NA,16RSMP_PCB05-MTW01,NOAA,119-3287,PS3342,2016-05-25T00:00:00Z,SumPBDEs11,0.26,NA,D,ng/g,wet,20.41954328,1.27328998712061
PSMM2016,2016,Mytilus trossulus,PCB03,"Penn Cove, Pre-test Baseline",NA,NA,NA,NA,NA,NA,16RSMP_PCB03-MTW01,NOAA,119-3285,PS3342,2016-05-25T00:00:00Z,SumPBDEs11,0.27,NA,D,ng/g,wet,21.67645489,1.24559113272973
PSMM2016,2016,Mytilus trossulus,PSS13175-000161,"Purdy, Dexters",47.385658,-122.627255,mud_sand,Pierce County,2015-10-26T00:00:00Z,2016-02-06T00:00:00Z,16RSMP161-MTW01,NOAA,119-3290,PS3342,2016-05-25T00:00:00Z,SumPBDEs11,0.27,NA,D,ng/g,wet,17.1469355,1.57462539005877
MWPE,2013,Mytilus trossulus,NPS_BP,Birch Pt,48.939,-122.82,cobble_sad,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,NPS_BP,NOAA,119-1693,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.27,NA,D,ng/g,wet,15.6840297653119,1.72149635036497
MWPE,2013,Mytilus trossulus,NPS_MP,March Pt,48.49955,-122.56746,mud_sand,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,NPS_MP,NOAA,119-1695,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.27,NA,D,ng/g,wet,14.8441926345609,1.81889312977099
MWPE,2013,Mytilus trossulus,SJI_LIFB,"Fisherman's Bay, Weeks Wetland, Lopez Is",48.51884,-122.91689,mud_sand,San Juan County MRC,2012-11-13T00:00:00Z,2013-01-09T00:00:00Z,13SJI_LIFB-MTW01,NOAA,119-1752,MW2888,2013-07-16T00:00:00Z,SumPBDEs11,0.28,NA,"D,LOQ",ng/g,wet,14.9229374433363,1.87630619684083
MWPE,2013,Mytilus trossulus,NPS_BBS,"Cherry Pt Aq Res, Birch Bay S",48.8962,-122.7854,sand,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,NPS_BBS,NOAA,119-1692,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.28,NA,"D,LOQ",ng/g,wet,15.2900499423741,1.83125628140705
MWPE,2013,Mytilus trossulus,NPS_PB,Padilla Bay,48.4924,-122.4866,mud_sand,NEP,2012-11-13T00:00:00Z,2013-01-08T00:00:00Z,NPS_PB,NOAA,119-1696,MW2885,2013-06-13T00:00:00Z,SumPBDEs11,0.28,NA,D,ng/g,wet,13.8226882745471,2.02565517241381
PSMM2016,2016,Mytilus trossulus,PSS13175-000028,Oak Harbor,48.272064,-122.639805,Sand,RSMP/SAM,2015-10-26T00:00:00Z,2016-02-05T00:00:00Z,16RSMP028-MTW01,NOAA,119-3257,PS3340,2016-05-17T00:00:00Z,SumPBDEs11,0.29,NA,D,ng/g,wet,13.70630415,2.11581471435536
MWPE,2013,Mytilus trossulus,WB_DPSP,"Deception Pass St Pk, Cornet Bay",48.4022,-122.621183333333,sand,NEP,2012-11-12T00:00:00Z,2013-01-10T00:00:00Z,WB_DPSP,NOAA,119-2046,MW2967,2013-11-21T00:00:00Z,SumPBDEs11,0.29,NA,"D,LOQ",ng/g,wet,14.0506563135514,2.0639605263158
