gisid,longitude,latitude,study_name,year,species,site_id,site_name,county,substrate,fund_source,deployment_date,retrieval_date,sample_id,lab,lab_sample_id,lab_set_name,lab_analysis_date,analyte,wet_value,blank_corrected_value,qualifier,units,reported_as,pct_solids,dry_value,mean_is_au,county_name,wria_nr,lio_areas,ID,lipid_weight,time
132177,-124.02669,46.4949999999998,PSMM2018,2018,Mytilus trossulus,PAC_WBN,Willapa Bay Nahcotta,x,mud_sand,WDFW-TBiOS,2017-12-01T00:00:00Z,2018-02-26T00:00:00Z,PAC_WBN,NOAA,119-4400,PS3650,2018-11-07T00:00:00Z,lipids,0.76551477,0.76551477,D,%,wet,NA,NA,0.105530623020063,Pacific,24,NA,215,1,87
144176,-124.026499999999,46.49548,PSMM2020,2020,Mytilus trossulus,WBNA,Nahcotta,x,mud_silt,NCCOS,2019-10-27T00:00:00Z,2020-01-21T00:00:00Z,20WBNA-MTW01,NOAA,119-5049,PS3920,2021-04-28T00:00:00Z,lipids,0.82,0.82,D,%,wet,NA,NA,0.105530623020063,Pacific,24,NA,361,1,86
132127,-124.04837,46.8960999999998,PSMM2018,2018,Mytilus trossulus,PAC_GH,"Grays Harbor, Bottle Beach",x,sand,WDFW-TBiOS,2017-12-01T00:00:00Z,2018-02-26T00:00:00Z,PAC_GH,NOAA,119-4399,PS3650,2018-11-07T00:00:00Z,lipids,0.929740249,0.929740249,D,%,wet,NA,NA,0.105530623020063,Grays Harbor,22,NA,214,1,87
115471,-122.90545,47.0604999999998,MWPE,2013,Mytilus trossulus,SPS_OBI,"Olympia, Budd Inlet, N Pt",x,mud_sand,NEP,2012-11-13T00:00:00Z,2013-01-11T00:00:00Z,SPS_OBI,NOAA,119-1700,MW2885,2013-06-13T00:00:00Z,lipids,0.65543592393244,0.65543592393244,D,%,wet,NA,NA,72.5472797927459,Thurston,13,South Sound,96,1,59
109301,-122.919489999999,47.0689199999998,PSMM2016,2016,Mytilus trossulus,PSS13175-000017,"Budd Inlet, West Bay",x,cobble_gravel,RSMP/SAM,2015-10-26T00:00:00Z,2016-02-08T00:00:00Z,16RSMP017-MTW01,NOAA,119-3247,PS3340,2016-05-17T00:00:00Z,lipids,0.980169101,0.980169101,D,%,wet,NA,NA,26.6849315068492,Thurston,13,South Sound,145,1,105
144123,-122.920519999999,47.07124,PSMM2020,2020,Mytilus trossulus,PSS13175-000017,"Budd Inlet, West Bay",x,mud_silt,SAM,2019-10-27T00:00:00Z,2020-01-21T00:00:00Z,20SAM017-MTW01,NOAA,119-4971,PS3916,2021-04-05T00:00:00Z,lipids,0.96,0.96,D,%,wet,NA,NA,26.6849315068492,Thurston,13,South Sound,324,1,86
132100,-122.920694999999,47.0712819999998,PSMM2018,2018,Mytilus trossulus,PSS13175-000017,"Budd Inlet, West Bay",x,gravel_sand,SAM,2017-12-01T00:00:00Z,2018-02-25T00:00:00Z,PSS13175-000017,NOAA,119-4285,PS3644,2018-06-27T00:00:00Z,lipids,0.927106746,0.927106746,D,%,wet,NA,NA,26.6849315068492,Thurston,13,South Sound,228,1,86
132136,-122.7269,47.1002999999998,PSMM2018,2018,Mytilus trossulus,SPS_LB,Luhr Beach,x,mud_silt,WDFW-TBiOS,2017-12-02T00:00:00Z,2018-02-25T00:00:00Z,SPS_LB,NOAA,119-4410,PS3651,2018-09-05T00:00:00Z,lipids,0.815678533,0.815678533,D,%,wet,NA,NA,27.7404556650246,Thurston,11,South Sound,267,1,85
144175,-122.89488,47.0989799999998,PSMM2020,2020,Mytilus trossulus,SSBI,Budd Inlet,x,gravel_sand,NCCOS,2019-10-27T00:00:00Z,2020-01-21T00:00:00Z,20SSBI-MTW01,NOAA,119-5048,PS3920,2021-04-28T00:00:00Z,lipids,1.1,1.1,D,%,wet,NA,NA,11.5350746268657,Thurston,13,South Sound,356,1,86
144096,-122.83356,47.1179399999998,PSMM2020,2020,Mytilus trossulus,SPS_HIMP,Meyer's Point - Henderson Inlet,x,mud_silt,Bainbridge Beach Naturalists,2019-10-27T00:00:00Z,2020-01-22T00:00:00Z,20SPS_HIMP-MTW01,NOAA,119-4920,PS3913,2021-03-16T00:00:00Z,lipids,0.76,0.76,D,%,wet,NA,NA,5.27669345579793,Thurston,13,South Sound,353,1,87
